day,hour,specifictime,indicator1,indicator2,indicator3,indicator4,indicator5,indicator6,indicator7,indicator8
2021-06-10,17,2021-06-10 17:59:59,0.00,0.00,0.00,0.00,0.00,0.00,0.4862,0.0000
2021-06-10,18,2021-06-10 18:04:59,10.00,42.50,22.00,12.00,32.00,12.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,1234.00,22.38,4.00,16.00,53.00,15.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,4.10,39.10,6.40,3.90,31.00,3.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,12.50,76.00,1.50,13.50,62.00,13.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,24.50,0.50,60.50,24.50,1.00,24.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,4.00,151.75,10.50,3.50,41.00,3.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,10.00,46.00,3.00,10.00,41.00,10.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,13.00,365.33,11.00,13.67,188.00,13.00,0.0455,0.0000
2021-06-10,18,2021-06-10 18:04:59,28.00,146.40,1.00,25.00,135.00,13.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,11.00,42.00,15.00,11.00,50.00,25.00,0.1667,0.0000
2021-06-10,18,2021-06-10 18:04:59,7.09,64.70,155.29,7.44,30.00,7.00,0.0052,0.0000
2021-06-10,18,2021-06-10 18:04:59,4.00,50.50,6.00,4.00,84.00,17.00,0.0251,0.0000
2021-06-10,18,2021-06-10 18:09:59,10.00,41.00,1.00,9.00,36.00,10.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,29.50,43.50,3.50,29.00,23.00,29.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,9.60,33.30,12.90,10.10,57.00,9.00,0.0086,0.0000
2021-06-10,18,2021-06-10 18:09:59,9.25,320.25,177.63,9.25,266.00,15.00,0.0036,0.0000
2021-06-10,18,2021-06-10 18:09:59,6.72,32.52,95.55,6.89,26.00,6.00,0.0092,0.0000
2021-06-10,18,2021-06-10 18:09:59,24.00,35.00,3.00,25.00,55.00,25.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,18.50,34.00,12.00,22.50,26.00,23.00,0.0714,0.0000
2021-06-10,18,2021-06-10 18:09:59,3.67,38.67,6.00,3.67,37.00,3.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,16.50,43.50,8.00,16.00,36.00,17.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,7.67,43.67,1.67,7.67,49.00,10.00,0.0093,0.0000
2021-06-10,18,2021-06-10 18:14:59,1915.70,39.25,36.00,19.67,47.00,18.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,8.40,12.20,9.80,7.60,18.00,6.00,0.0087,0.0000
2021-06-10,18,2021-06-10 18:14:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.4118
2021-06-10,18,2021-06-10 18:14:59,12.00,70.00,1.00,17.00,39.00,17.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.4118
2021-06-10,18,2021-06-10 18:14:59,4.00,31.50,2.00,4.50,44.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,11.00,28.00,4.00,12.00,32.00,12.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,6.28,36.70,3.93,6.53,17.00,5.00,0.0042,0.0000
2021-06-10,18,2021-06-10 18:14:59,49.33,42.33,5.33,49.00,35.00,49.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,4.50,48.50,4.50,4.50,41.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,4.50,50.00,4.50,4.50,40.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,2731.14,41.83,3.00,27.00,46.00,27.00,0.0000,0.0230
2021-06-10,18,2021-06-10 18:19:59,11.00,44.00,27.00,11.00,108.00,12.00,0.0189,0.0000
2021-06-10,18,2021-06-10 18:19:59,11.00,37.00,0.00,12.00,39.00,11.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,29.40,46.20,11.20,28.40,43.00,34.00,0.0000,0.0000
