day,hour,specifictime,indicator1,indicator2,indicator3,indicator4,indicator5,indicator6,indicator7,indicator8
2021-06-10,8,2021-06-10 08:29:59,44.00,1.29,5.67,44.00,2.00,44.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,2.00,28.00,0.00,2.00,21.00,2.00,0.0000,0.0263
2021-06-10,8,2021-06-10 08:29:59,28.00,2.00,293.67,28.33,5.00,30.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,3.00,29.17,0.33,3.00,12.00,4.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,9.00,6.00,1.00,9.00,18.00,8.00,0.0000,0.0286
2021-06-10,8,2021-06-10 08:29:59,24.00,7.00,0.00,24.00,63.00,23.00,0.0625,0.0000
2021-06-10,8,2021-06-10 08:29:59,10.00,2.00,0.00,10.00,205.00,10.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,3.00,1.00,0.00,3.00,1.00,3.00,0.1667,0.0000
2021-06-10,8,2021-06-10 08:29:59,45.00,1.50,5.00,45.00,103.00,45.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,47.92,2.23,1.00,48.00,2.00,48.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,43.86,0.86,4.57,43.71,2.00,43.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,27.13,1.50,88.13,27.00,159.00,29.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,25.00,1.00,134.00,25.00,1.00,25.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,21.00,7.67,0.67,21.00,204.00,21.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,2.50,1.50,0.25,2.25,2.00,2.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,52.00,1.00,1.00,52.00,6.00,52.00,0.1111,0.0000
2021-06-10,8,2021-06-10 08:29:59,7.00,5.00,31.00,7.00,18.00,6.00,0.0667,0.0000
2021-06-10,8,2021-06-10 08:29:59,14.44,4.93,3.82,14.43,3.00,12.00,0.0001,0.0000
2021-06-10,8,2021-06-10 08:29:59,10.25,1.00,0.00,10.25,0.00,10.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:29:59,16.00,1.00,0.00,16.00,0.00,16.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:34:59,84.67,6.33,27.00,84.33,59.00,80.00,0.0000,0.0000
2021-06-10,8,2021-06-10 08:34:59,9.00,10.33,0.33,10.67,4.00,12.00,0.0000,0.0000
