day,hour,specifictime,indicator1,indicator2,indicator3,indicator4,indicator5,indicator6,indicator7,indicator8
2021-06-10,18,2021-06-10 18:09:59,12.00,3.33,15.33,7.67,10.00,12.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,5.00,3.00,1.00,5.00,11.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,8.85,6.03,2.32,8.88,14.00,16.00,0.0044,0.0000
2021-06-10,18,2021-06-10 18:14:59,15.00,2.00,17.00,14.00,74.00,14.00,0.1000,0.0000
2021-06-10,18,2021-06-10 18:14:59,4.50,8.67,3.67,4.83,14.00,7.00,0.0025,0.0000
2021-06-10,18,2021-06-10 18:14:59,11.67,44.67,9.00,26.00,0.00,24.00,0.0000,0.1887
2021-06-10,18,2021-06-10 18:14:59,25.00,6.00,2.00,25.00,3.00,25.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,5.00,12.00,0.00,5.00,5.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,15.47,5.51,1.88,15.20,21.00,24.00,0.0046,0.0000
2021-06-10,18,2021-06-10 18:14:59,256.00,8.69,3.38,22.38,13.00,22.00,0.0000,0.0189
2021-06-10,18,2021-06-10 18:14:59,15.50,4.50,3.00,17.20,13.00,26.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,14.00,3.00,11.00,14.00,3.00,14.00,0.1176,0.0000
2021-06-10,18,2021-06-10 18:14:59,7.00,4.00,4.00,10.00,4.00,9.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,35.50,3.00,1.00,35.50,0.00,35.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,12.50,3.00,6.00,6.50,5.00,20.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,19.25,3.75,4.50,85.40,13.00,23.00,0.0123,0.0000
2021-06-10,18,2021-06-10 18:19:59,13.00,2.67,5.83,9.33,16.00,12.00,0.0353,0.0000
2021-06-10,18,2021-06-10 18:19:59,0.00,0.00,0.00,0.00,32.00,27.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,16.00,3.00,2.00,18.00,5.00,17.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,36.00,5.00,2.00,36.00,0.00,36.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,40.53,43.07,5.24,22.64,37.00,23.00,0.0040,0.0040
2021-06-10,18,2021-06-10 18:19:59,13.67,3.33,4.67,8.33,4.00,13.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,18.33,30.00,1.33,18.67,31.00,18.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,5.00,2.50,3.00,5.00,0.00,5.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,25.00,81.00,1.00,25.00,5.00,38.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,20.63,7.88,4.75,26.70,14.00,23.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,13.64,8.00,3.18,13.45,10.00,19.00,0.0052,0.0000
2021-06-10,18,2021-06-10 18:19:59,28.33,4.00,11.33,26.33,5.00,27.00,0.0357,0.0000
2021-06-10,18,2021-06-10 18:19:59,4.50,13.50,3.00,5.00,70.00,4.00,0.0020,0.0000
2021-06-10,18,2021-06-10 18:19:59,10.25,44.50,6.50,10.00,42.00,12.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,46.00,2.00,71.00,26.00,43.00,54.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,13.67,5.33,13.67,8.67,7.00,13.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:24:59,19.25,3.00,2.50,19.00,4.00,32.00,0.0182,0.0000
2021-06-10,18,2021-06-10 18:24:59,0.00,0.00,0.00,72.00,73.00,0.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:24:59,6.00,3.00,13.00,5.00,6.00,5.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:24:59,23.71,3.58,3.48,23.68,7.00,23.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:24:59,29.00,2.50,3.00,28.50,4.00,28.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:24:59,25.00,3.71,3.43,25.00,9.00,26.00,0.1429,0.1000
2021-06-10,18,2021-06-10 18:24:59,10.00,3.29,19.71,8.57,6.00,10.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:24:59,16.00,9.00,12.00,17.00,3.00,16.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:29:59,28.00,4.00,1.50,28.00,4.00,28.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:29:59,5.00,4.00,1.50,5.00,0.00,5.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:29:59,25.00,4.00,23.00,75.50,5.00,31.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,22.50,6.83,1.50,22.50,4.00,23.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,13.00,10.00,3.00,12.00,6.00,12.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,21.00,3.00,0.00,21.00,5.00,22.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,13.00,2.50,2.50,11.50,4.00,10.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,22.00,4.00,1.00,22.00,4.00,20.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,22.50,14.50,1.50,23.00,9.00,23.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,19.40,3.60,1.00,19.60,18.00,22.00,0.0171,0.0000
2021-06-10,18,2021-06-10 18:34:59,71.17,5.33,1.00,71.17,9.00,71.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,6.00,3.00,16.00,6.00,5.00,6.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,12.00,5.00,1.50,15.00,5.00,14.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,9.67,5.33,4.11,9.78,7.00,11.00,0.0060,0.0000
2021-06-10,18,2021-06-10 18:34:59,16.80,4.60,6.00,25.00,4.00,34.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,4.00,67.50,2.00,4.50,47.00,5.00,0.0053,0.0000
2021-06-10,18,2021-06-10 18:34:59,29.00,20.40,27.00,29.20,6.00,31.00,0.0000,0.1132
2021-06-10,18,2021-06-10 18:34:59,22.09,10.09,4.73,21.91,5.00,22.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,19.05,4.30,6.30,16.00,6.00,17.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,11.14,14.50,1.71,11.07,43.00,16.00,0.0005,0.0000
2021-06-10,18,2021-06-10 18:34:59,22.38,15.50,9.63,22.25,4.00,22.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:39:59,16.11,3.39,7.22,11.11,10.00,17.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:39:59,5.00,8.00,1.00,5.00,2.00,5.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:39:59,14.00,3.25,3.00,11.25,9.00,14.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:39:59,0.00,0.00,0.00,81.00,0.00,0.00,0.3846,0.0000
2021-06-10,18,2021-06-10 18:39:59,16.67,20.00,1.00,16.00,6.00,23.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:39:59,103.00,3.67,4.17,103.67,6.00,124.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:39:59,8.25,3.50,5.25,7.50,4.00,5.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:39:59,12.75,5.50,0.75,12.75,4.00,9.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:39:59,9.60,3.20,10.00,9.60,7.00,12.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:39:59,42.00,41.00,4.86,41.57,107.00,49.00,0.0212,0.0000
2021-06-10,18,2021-06-10 18:39:59,26.33,9.56,13.71,28.29,5.00,31.00,0.1290,0.0000
2021-06-10,18,2021-06-10 18:44:59,0.00,0.00,0.00,144.00,145.00,0.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:44:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:44:59,15.00,4.00,41.00,15.00,4.00,15.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:44:59,18.67,5.00,5.67,18.00,5.00,22.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:44:59,4.50,3.50,4.50,4.50,6.00,4.00,0.0000,0.2759
2021-06-10,18,2021-06-10 18:49:59,0.00,0.00,0.00,0.00,114.00,0.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:49:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:49:59,30.25,2.50,9.25,29.00,2.00,30.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:49:59,4.67,2.67,1.33,5.33,0.00,5.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:49:59,47.50,2.50,2.00,48.00,0.00,48.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:54:59,9.00,3.00,1.00,10.00,0.00,10.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:54:59,41.00,13.00,4.00,41.33,4.00,41.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:54:59,4.60,3.20,10.60,4.60,0.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:54:59,30.75,39.50,8.25,28.80,7.00,33.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:54:59,10.00,17.00,7.00,11.00,2.00,11.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:54:59,16.00,2.50,3.00,16.00,2.00,16.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:54:59,26.00,7.00,0.00,26.00,11.00,26.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:54:59,24.00,3.00,15.00,25.00,5.00,34.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:54:59,12.00,4.00,9.00,4.00,29.00,12.00,0.0000,0.0000
