day,hour,specifictime,indicator1,indicator2,indicator3,indicator4,indicator5,indicator6,indicator7,indicator8
2021-06-10,17,2021-06-10 17:59:59,0.00,0.00,0.00,18.00,54.00,5.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,3.00,20.00,0.00,2.00,16.00,7.00,0.0011,0.0000
2021-06-10,18,2021-06-10 18:04:59,2.00,90.00,1.00,2.00,52.00,7.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,2.00,26.00,49.00,2.00,67.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,15.00,53.00,0.00,16.00,11.00,16.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,29.50,37.50,0.50,28.50,103.00,29.00,0.0476,0.0000
2021-06-10,18,2021-06-10 18:04:59,183.00,324.60,21.00,3.60,103.00,3.00,0.1034,0.0000
2021-06-10,18,2021-06-10 18:04:59,34.50,535.50,42.00,34.50,0.00,34.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,6.00,906.00,3.00,6.00,0.00,6.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,9.00,906.00,3.00,9.00,11.00,9.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,29.41,215.00,4.14,29.59,81.00,29.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,10.00,39.00,0.00,14.00,258.00,14.00,0.1250,0.0000
2021-06-10,18,2021-06-10 18:04:59,18.00,39.00,8.00,18.00,39.00,18.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,8.78,69.22,0.33,8.89,80.00,7.00,0.0258,0.0000
2021-06-10,18,2021-06-10 18:04:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,7.17,84.42,55.25,5.23,64.00,4.00,0.0025,0.0016
2021-06-10,18,2021-06-10 18:04:59,22.50,29.00,6.00,25.14,92.00,19.00,0.0308,0.0233
2021-06-10,18,2021-06-10 18:04:59,44.50,100.00,847.50,44.00,79.00,52.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,7.00,791.40,345.00,7.00,151.00,13.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,21.73,41.27,62.04,21.98,123.00,22.00,0.0069,0.0008
2021-06-10,18,2021-06-10 18:04:59,25.25,95.25,0.13,25.63,121.00,25.00,0.0573,0.0000
2021-06-10,18,2021-06-10 18:04:59,26.00,57.25,0.50,26.00,142.00,31.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,24.60,281.20,30.60,25.00,172.00,28.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,12.00,7.00,4.00,11.00,23.00,11.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,11.00,134.00,1.00,10.00,70.00,10.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.4286
2021-06-10,18,2021-06-10 18:04:59,2.00,26.00,2.00,2.00,21.00,11.00,0.0043,0.0000
2021-06-10,18,2021-06-10 18:09:59,19.63,37.88,21.71,20.72,87.00,37.00,0.0059,0.0000
2021-06-10,18,2021-06-10 18:09:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,0.00,0.00,0.00,26.50,35.00,4.00,0.0137,0.0000
2021-06-10,18,2021-06-10 18:09:59,24.00,38.00,63.00,325.50,156.00,29.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,0.00,0.00,0.00,0.00,50.00,11.00,0.0667,0.0000
2021-06-10,18,2021-06-10 18:09:59,21.96,40.76,9.85,21.93,59.00,31.00,0.0023,0.0000
2021-06-10,18,2021-06-10 18:09:59,23.50,30.50,5.00,23.00,36.00,23.00,0.0000,0.0714
