day,hour,specifictime,indicator1,indicator2,indicator3,indicator4,indicator5,indicator6,indicator7,indicator8
2021-06-10,17,2021-06-10 17:59:59,25.00,3.00,83.00,28.50,2.00,37.00,0.0000,0.0000
2021-06-10,17,2021-06-10 17:59:59,0.00,0.00,0.00,262.80,8.00,0.00,0.1818,0.0000
2021-06-10,18,2021-06-10 18:04:59,32.67,8.33,3.67,32.67,8.00,32.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,8.50,4.00,0.00,9.00,3.00,9.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,24.83,3.27,46.00,23.42,2.00,27.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,15.00,2.00,0.00,15.00,51.00,30.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,31.00,13.00,1.00,30.00,359.00,30.00,0.0952,0.0000
2021-06-10,18,2021-06-10 18:04:59,4.00,4.50,1.50,4.00,1.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,15.67,2.50,429.25,15.19,12.00,22.00,0.0005,0.0000
2021-06-10,18,2021-06-10 18:04:59,21.00,3.00,0.33,21.33,39.00,22.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,10.00,3.50,10.00,9.50,3.00,14.00,0.0141,0.0000
2021-06-10,18,2021-06-10 18:04:59,0.00,0.00,0.00,46.00,0.00,0.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,20.40,2.75,1.00,20.60,2.00,21.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,20.00,4.82,5.00,38.20,67.00,85.00,0.0079,0.0476
2021-06-10,18,2021-06-10 18:04:59,14.33,5.00,0.27,14.33,25.00,17.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,10.00,5.00,0.00,12.00,3.00,11.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:04:59,6.73,3.71,1.96,6.48,5.00,8.00,0.0017,0.0000
2021-06-10,18,2021-06-10 18:09:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,7.04,3.78,5.37,7.78,4.00,10.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,3.00,3.00,1.00,3.00,10.00,6.00,0.0004,0.0000
2021-06-10,18,2021-06-10 18:09:59,14.00,4.00,15.00,15.00,149.00,15.00,0.0909,0.0000
2021-06-10,18,2021-06-10 18:09:59,19.00,1.67,0.67,18.67,1.00,18.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,21.50,1.75,1.00,21.25,10.00,24.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,11.25,17.50,15.00,15.00,9.00,15.00,0.0000,0.0227
2021-06-10,18,2021-06-10 18:09:59,12.50,6.00,19.00,12.00,16.00,13.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,10.15,1.85,0.38,10.31,1.00,10.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,12.00,4.00,0.00,12.00,2.00,12.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:09:59,17.67,4.33,3.00,17.33,25.00,17.00,0.0400,0.0000
2021-06-10,18,2021-06-10 18:09:59,3.00,4.00,9.00,4.00,2.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,4.00,4.00,8.00,4.67,3.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,22.00,3.00,8.00,21.00,23.00,21.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,23.50,4.00,8.50,24.00,3.00,24.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,3.50,4.00,22.50,4.50,2.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,24.00,3.00,1.00,24.00,105.00,24.00,0.0556,0.0000
2021-06-10,18,2021-06-10 18:14:59,12.00,4.00,0.00,12.00,3.00,12.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,16.75,1.25,0.25,17.00,31.00,20.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,1419.73,4.78,1404.50,20.33,83.00,25.00,0.0088,0.0444
2021-06-10,18,2021-06-10 18:14:59,11.33,4.00,13.33,11.00,30.00,12.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,0.00,0.00,0.00,0.00,182.00,11.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,4524.29,3.80,0.00,0.00,136.00,17.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,7.27,3.89,6.50,7.08,5.00,9.00,0.0026,0.0000
2021-06-10,18,2021-06-10 18:14:59,18.00,1.33,0.67,17.33,66.00,23.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,0.00,0.00,0.00,0.00,200.00,9.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,13.00,2.00,0.00,13.00,2.00,13.00,0.0083,0.0000
