day,hour,specifictime,indicator1,indicator2,indicator3,indicator4,indicator5,indicator6,indicator7,indicator8
2021-06-10,18,2021-06-10 18:09:59,39.20,4.00,3.80,39.40,6.00,39.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:14:59,0.00,0.00,0.00,48.00,29.00,38.00,0.0909,0.0000
2021-06-10,18,2021-06-10 18:19:59,24.00,5.00,711.00,23.00,3.00,24.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,0.00,0.00,0.00,0.00,1.00,23.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,41.90,38.15,2.15,41.90,6.00,46.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:19:59,12.50,987.83,82.33,12.42,15.00,17.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:24:59,9.67,12.67,2.33,9.83,5.00,9.00,0.0272,0.0000
2021-06-10,18,2021-06-10 18:24:59,0.00,0.00,0.00,36.50,230.00,35.00,0.1176,0.1071
2021-06-10,18,2021-06-10 18:24:59,0.00,0.00,0.00,0.00,0.00,23.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:24:59,1032.00,4.00,3.00,14272.00,0.00,0.00,0.0000,0.2500
2021-06-10,18,2021-06-10 18:29:59,0.00,0.00,0.00,0.00,1.00,22.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,0.00,0.00,0.00,0.00,0.00,23.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,8029.50,1.00,2.00,431.50,0.00,15.00,0.0000,0.1250
2021-06-10,18,2021-06-10 18:34:59,22.00,6.00,3.00,23.00,7.00,24.00,0.1000,0.0000
2021-06-10,18,2021-06-10 18:34:59,32.33,3.67,5.00,31.33,5.00,31.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:34:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.3333
2021-06-10,18,2021-06-10 18:39:59,15.62,5.69,1.77,15.46,19.00,20.00,0.0252,0.0117
2021-06-10,18,2021-06-10 18:39:59,18.00,4.00,3.00,13.00,8.00,13.00,0.0213,0.0000
2021-06-10,18,2021-06-10 18:39:59,4.00,3.50,1.00,3.00,6.00,8.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:39:59,0.00,0.00,0.00,164.00,186.00,65.00,0.1111,0.0000
2021-06-10,18,2021-06-10 18:39:59,4.50,49.00,1.50,4.00,4.00,4.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:39:59,43.05,18.70,2.80,43.25,22.00,47.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:44:59,0.00,0.00,0.00,16.00,65.00,27.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:44:59,0.00,0.00,0.00,13.00,20.00,13.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:44:59,5.27,7.36,0.91,5.09,14.00,5.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:44:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.3846
2021-06-10,18,2021-06-10 18:44:59,40.13,4.63,2.44,39.75,19.00,41.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:49:59,25.50,5.50,5.50,30.67,5.00,38.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:49:59,0.00,0.00,0.00,0.00,0.00,23.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:54:59,0.00,0.00,0.00,0.00,1.00,22.00,0.0000,0.0000
2021-06-10,18,2021-06-10 18:59:59,0.00,0.00,0.00,194.00,2.00,27.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:04:59,3014.00,1.00,1.50,2422.00,1.00,17.00,0.0000,0.1389
2021-06-10,19,2021-06-10 19:04:59,0.00,0.00,0.00,0.00,0.00,23.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:04:59,0.00,0.00,0.00,0.00,1.00,22.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:04:59,5.33,1.00,1.33,4.00,1.00,11.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:04:59,27.00,1.00,1.67,27.00,2.00,27.00,0.0000,0.0980
2021-06-10,19,2021-06-10 19:09:59,0.00,0.00,0.00,0.00,0.00,22.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:14:59,0.00,0.00,0.00,12.00,59.00,19.00,0.1176,0.0588
2021-06-10,19,2021-06-10 19:19:59,0.00,0.00,0.00,12.00,49.00,30.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:24:59,0.00,0.00,0.00,24.67,113.00,34.00,0.1250,0.0417
2021-06-10,19,2021-06-10 19:29:59,26.00,12.00,3.00,26.00,40.00,38.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:29:59,0.00,0.00,0.00,13.00,109.00,19.00,0.0714,0.0625
2021-06-10,19,2021-06-10 19:29:59,34.75,53.00,3.50,34.50,24.00,34.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:29:59,13.00,545.50,4.00,13.50,43.00,14.00,0.1071,0.0000
2021-06-10,19,2021-06-10 19:34:59,0.00,0.00,0.00,46.00,65.00,56.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:34:59,4.67,1.00,1.33,4.33,1.00,11.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:34:59,45.00,4.00,8.00,45.00,4.00,45.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:39:59,0.00,0.00,0.00,14.00,6.00,22.00,0.1538,0.0769
2021-06-10,19,2021-06-10 19:39:59,46.00,4.00,4.00,45.50,5.00,45.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:44:59,0.00,0.00,0.00,46.00,24.00,23.00,0.2857,0.1875
2021-06-10,19,2021-06-10 19:44:59,0.00,0.00,0.00,0.00,1.00,22.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:49:59,0.00,0.00,0.00,0.00,0.00,22.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:49:59,36.00,309.00,1.00,36.00,13.00,30.00,0.0000,0.0588
2021-06-10,19,2021-06-10 19:54:59,11.00,4.00,65685.00,11.00,8.00,20.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:59:59,44.08,4.69,2.08,43.85,5.00,44.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:59:59,20.00,4.00,8.00,570.00,4.00,24.00,0.0833,0.0000
2021-06-10,19,2021-06-10 19:59:59,4.00,6.00,4.00,3.00,12.00,4.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:59:59,18.00,4.00,4.50,18.50,14.00,18.00,0.0294,0.0303
2021-06-10,19,2021-06-10 19:59:59,4.33,4.00,1.67,4.00,4.00,4.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:59:59,7.00,5.56,1.22,6.89,11.00,7.00,0.0000,0.0041
2021-06-10,19,2021-06-10 19:59:59,13.50,3.00,0.50,4.50,13.00,4.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:59:59,4.00,4.00,0.00,4.00,7.00,3.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:59:59,10.57,5.86,1.43,10.43,8.00,16.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:59:59,11.50,4.00,1.00,12.00,9.00,12.00,0.0000,0.0000
2021-06-10,19,2021-06-10 19:59:59,4.00,5.00,7.00,24.50,7.00,31.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:04:59,8.00,1.00,1.67,7.00,1.00,13.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:04:59,27.00,4.00,4.00,13226.00,0.00,0.00,0.0000,0.3636
2021-06-10,20,2021-06-10 20:04:59,9030.50,1.50,1.00,16.50,1.00,16.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:04:59,45.25,62.63,1.88,45.13,5.00,45.00,0.0000,0.0222
2021-06-10,20,2021-06-10 20:04:59,0.00,0.00,0.00,134.00,7.00,38.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:09:59,32.33,5.67,272.33,32.33,5.00,34.00,0.0095,0.0000
2021-06-10,20,2021-06-10 20:09:59,0.00,0.00,0.00,2560.00,2.00,22.00,0.1818,0.0000
2021-06-10,20,2021-06-10 20:09:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.4118
2021-06-10,20,2021-06-10 20:09:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.4167
2021-06-10,20,2021-06-10 20:09:59,14.00,4.00,45.00,14.00,10.00,22.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:09:59,3.00,5.00,13.00,3.00,32.00,9.00,0.0005,0.0000
2021-06-10,20,2021-06-10 20:14:59,29.67,4.89,11.89,1828.78,12.00,100.00,0.0143,0.1020
2021-06-10,20,2021-06-10 20:14:59,13.00,4.00,524.00,13.00,17.00,20.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:14:59,22.50,10.00,11.00,22.50,5.00,26.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:14:59,31.50,3.67,7.33,31.33,5.00,34.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:14:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.4253
2021-06-10,20,2021-06-10 20:19:59,0.00,0.00,0.00,14.00,52.00,25.00,0.0714,0.0000
2021-06-10,20,2021-06-10 20:19:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.4118
2021-06-10,20,2021-06-10 20:19:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.4264
2021-06-10,20,2021-06-10 20:19:59,48.17,4.00,3.00,48.00,4.00,48.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:19:59,5.00,4.00,2.50,4.00,4.00,4.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:24:59,5.00,5.00,2.00,4.50,4.00,13.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:24:59,0.00,0.00,0.00,17.00,2.00,18.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:24:59,23.00,5.00,40.00,23.00,3.00,23.00,0.2821,0.0000
2021-06-10,20,2021-06-10 20:24:59,11.44,9.13,1.06,11.50,11.00,15.00,0.0052,0.0000
2021-06-10,20,2021-06-10 20:24:59,4.00,5.00,1.00,4.50,3.00,4.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:24:59,0.00,0.00,0.00,0.00,1.00,23.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:29:59,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.4247
2021-06-10,20,2021-06-10 20:29:59,0.00,0.00,0.00,15.00,2.00,19.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:29:59,29.60,6.00,4.40,28.80,5.00,33.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:29:59,4.50,4.00,1.00,4.50,3.00,4.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:34:59,196.50,4.33,7.00,10049.83,30.00,30.00,0.0000,0.2907
2021-06-10,20,2021-06-10 20:34:59,11.17,5.83,25.17,11.33,9.00,15.00,0.0156,0.0000
2021-06-10,20,2021-06-10 20:34:59,4.67,1.33,1.67,4.00,1.00,14.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:34:59,21.00,2.25,1.50,20.75,6.00,21.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:34:59,20.00,1.00,1.00,0.00,0.00,0.00,0.0000,0.4091
2021-06-10,20,2021-06-10 20:34:59,55.00,4.00,170.00,34.50,124.00,69.00,0.0833,0.0000
2021-06-10,20,2021-06-10 20:34:59,5.00,3.00,44.00,4.00,11.00,18.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:39:59,4.00,4.00,7.00,5.00,14.00,5.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:39:59,30.67,7.00,1.00,31.00,4.00,31.00,0.0000,0.0000
2021-06-10,20,2021-06-10 20:39:59,45.00,5.00,3.00,46.00,11.00,47.00,0.0000,0.0667
